Node,Community,Name
1,3.0,20150402_1013_BGUG_HuC_ltRFP_d5_F3
2,3.0,20160512_1013_BGUG_HuC_ltRFP_d6_F6_Neuron2
4,3.0,20160519_1013_BGUG_HuC_ltRFP_d6_F6
7,3.0,20160526_1013_BGUG_HuC_ltRFP_d6_F4
9,3.0,20160616_1013_BGUG_HuC_ltRFP_d7_F1
10,3.0,20160623_1013_BGUG_HuC_ltRFP_d6_F4
13,0.0,20160720_1013_BGUG_HuC_ltRFP_d6_F8_Neuron1
15,1.0,20160726_1013_BGUG_HuC_ltRFP_d6_F2
19,1.0,20160906_1013_BGUG_HuC_ltRFP_d5_F7
20,4.0,20160907_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
21,2.0,20160907_1013_BGUG_HuC_ltRFP_d6_F10_Neuron2
23,0.0,20160908_1013_BGUG_HuC_ltRFP_d7_F5
25,4.0,20160912_1013_BGUG_HuC_ltRFP_d6_F7_Neuron1
26,3.0,20160914_1013_BGUG_HuC_ltRFP_d5_F1
27,3.0,20160916_1013_BGUG_HuC_ltRFP_d7_F5
28,2.0,20160916_1013_BGUG_HuC_ltRFP_d7_F6
29,2.0,20160916_1013_BGUG_HuC_ltRFP_d7_F9
30,1.0,20160919_1013_BGUG_HuC_ltRFP_d5_F1_Neuron2
31,4.0,20160919_1013_BGUG_HuC_ltRFP_d5_F2_Neuron1
37,3.0,20160920_1013_BGUG_HuC_ltRFP_d6_F11
39,2.0,20160921_1013_BGUG_HuC_ltRFP_d7_F1
42,4.0,20160921_1013_BGUG_HuC_ltRFP_d7_F5
44,3.0,20160922_1013_BGUG_HuC_ltRFP_d6_F4
46,1.0,20160923_1013_BGUG_HuC_ltRFP_d7_F2
52,0.0,20160927_1013_BGUG_HuC_ltRFP_d6_F9_Neuron2
54,1.0,20160928_1013_BGUG_HuC_ltRFP_d5_F1
57,0.0,20160928_1013_BGUG_HuC_ltRFP_d5_F3_Neuron2
59,0.0,20160928_1013_BGUG_HuC_ltRFP_d7_F3
60,0.0,20160928_1013_BGUG_HuC_ltRFP_d7_F4
61,0.0,20160929_1013_BGUG_HuC_ltRFP_d6_F3
62,3.0,20161004_1013_BGUG_HuC_ltRFP_d5_F1_Neuron2
64,3.0,20161005_1013_BGUG_HuC_ltRFP_d6_F11_Neuron2
68,3.0,20161011_1013_BGUG_HuC_ltRFP_d5_F4
72,3.0,20161014_1013_BGUG_HuC_ltRFP_d7_F4
73,4.0,20161123_1013_BGUG_HuC_ltRFP_d5_F3
74,4.0,20161123_1013_BGUG_HuC_ltRFP_d5_F5
76,1.0,20161123_1013_BGUG_HuC_ltRFP_d5_F7
79,0.0,20161125_1013_BGUG_HuC_ltRFP_d7_F5
80,2.0,20161205_1013_BGUG_HuC_ltRFP_d5_F4
83,4.0,20161206_1013_BGUG_HuC_ltRFP_d6_F1_Neuron2
85,4.0,20161206_1013_BGUG_HuC_ltRFP_d6_F4
86,3.0,20161212_1013_BGUG_HuC_ltRFP_d5_F1_Neuron1
88,3.0,20161212_1013_BGUG_HuC_ltRFP_d5_F6_Neuron2
89,3.0,20161213_1013_BGUG_HuC_ltRFP_d6_F2_Neuron1
90,1.0,20161213_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
94,3.0,20170111_1013_BGUG_HuC_ltRFP_d5_F1
96,0.0,20170117_1013_BGUG_HuC_ltRFP_d5_F3_Neuron2
97,3.0,20170117_1013_BGUG_HuC_ltRFP_d5_F4
101,2.0,20170201_1013_BGUG_HuC_ltRFP_d7_F1_Neuron1
103,0.0,20170220_1013_BGUG_HuC_ltRFP_d5_F4
104,1.0,20170224_1013_BGUG_HuC_ltRFP_d7_F1
