Node,Community,Name
89,1.0,20161213_1013_BGUG_HuC_ltRFP_d6_F2_Neuron1
90,1.0,20161213_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
91,0.0,20161219_1013_BGUG_HuC_ltRFP_d5_F6_Neuron2
92,2.0,20161220_1013_BGUG_HuC_ltRFP_d6_F1
93,1.0,20161220_1013_BGUG_HuC_ltRFP_d6_F2
94,1.0,20170111_1013_BGUG_HuC_ltRFP_d5_F1
95,0.0,20170113_1013_BGUG_HuC_ltRFP_d7_F3_Neuron1
96,1.0,20170117_1013_BGUG_HuC_ltRFP_d5_F3_Neuron2
97,2.0,20170117_1013_BGUG_HuC_ltRFP_d5_F4
98,1.0,20170117_1013_BGUG_HuC_ltRFP_d5_F5
99,1.0,20170117_1013_BGUG_HuC_ltRFP_d5_F6
100,1.0,20170118_1013_BGUG_HuC_ltRFP_d6_F3_Neuron2
101,1.0,20170201_1013_BGUG_HuC_ltRFP_d7_F1_Neuron1
102,1.0,20170220_1013_BGUG_HuC_ltRFP_d5_F1
103,1.0,20170220_1013_BGUG_HuC_ltRFP_d5_F4
104,1.0,20170224_1013_BGUG_HuC_ltRFP_d7_F1
105,1.0,20170224_1013_BGUG_HuC_ltRFP_d7_F8
106,1.0,20170228_1013_BGUG_HuC_ltRFP_d5_F1
107,1.0,20170228_1013_BGUG_HuC_ltRFP_d5_F3
108,1.0,20170228_1013_BGUG_HuC_ltRFP_d5_F4
109,0.0,20170228_1013_BGUG_HuC_ltRFP_d5_F6
110,1.0,20170303_1013_BGUG_HuC_ltRFP_d7_F2_Neuron2
111,1.0,20170303_1013_BGUG_HuC_ltRFP_d7_F2_Neuron4
112,1.0,20170310_1013_BGUG_HuC_ltRFP_d7_F8
113,1.0,20170313_1013_BGUG_HuC_ltRFP_d5_F1_Neuron1
114,1.0,20170313_1013_BGUG_HuC_ltRFP_d5_F1_Neuron2
115,1.0,20170313_1013_BGUG_HuC_ltRFP_d5_F8
116,0.0,20170329_1013_BGUG_HuC_ltRFP_d6_F2
117,1.0,20170329_1013_BGUG_HuC_ltRFP_d6_F4
118,1.0,20170329_1013_BGUG_HuC_ltRFP_d6_F5
119,1.0,20170329_1013_BGUG_HuC_ltRFP_d6_F7_Neuron2
120,0.0,20170406_1013_BGUG_HuC_ltRFP_d6_F2_Neuron1
121,1.0,20170406_1013_BGUG_HuC_ltRFP_d6_F8
122,1.0,20170406_1013_BGUG_HuC_ltRFP_d6_F9
123,1.0,20170506_1013_BGUG_HuC_ltRFP_d5_F1
124,1.0,20170506_1013_BGUG_HuC_ltRFP_d5_F3_Neuron2
125,1.0,20170506_1013_BGUG_HuC_ltRFP_d5_F5
126,1.0,20170506_1013_BGUG_HuC_ltRFP_d5_F6
127,1.0,20170513_1013_BGUG_HuC_ltRFP_d7_F4
128,1.0,20170513_1013_BGUG_HuC_ltRFP_d7_F7
129,1.0,20170608_1013_BGUG_HuC_ltRFP_d6_F1
130,1.0,20170609_1013_BGUG_HuC_ltRFP_d7_F3_Neuron1
131,1.0,20170609_1013_BGUG_HuC_ltRFP_d7_F3_Neuron2
132,1.0,20170609_1013_BGUG_HuC_ltRFP_d7_F4
133,2.0,20170617_1013_BGUG_HuC_ltRFP_d7_F3_Neuron2
134,1.0,20170617_1013_BGUG_HuC_ltRFP_d7_F4
135,1.0,20170708_1013_BGUG_HuC_ltRFP_d7_F2
136,1.0,20170708_1013_BGUG_HuC_ltRFP_d7_F6_Neuron1
137,1.0,20170715_1013_BGUG_HuC_ltRFP_d7_F1_Neuron2
138,0.0,20170715_1013_BGUG_HuC_ltRFP_d7_F2
139,1.0,20170715_1013_BGUG_HuC_ltRFP_d7_F3
140,0.0,20170715_1013_BGUG_HuC_ltRFP_d7_F5
141,1.0,20170722_1013_BGUG_HuC_ltRFP_d7_F3
142,1.0,20170722_1013_BGUG_HuC_ltRFP_d7_F5
143,1.0,20170805_1013_BGUG_HuC_ltRFP_d7_F3
144,1.0,20170805_1013_BGUG_HuC_ltRFP_d7_F4
145,1.0,20170805_1013_BGUG_HuC_ltRFP_d7_F5_Neuron1
146,1.0,20170809_1013_BGUG_HuC_ltRFP_d5_F3
147,0.0,20170818_1013_BGUG_HuC_ltRFP_d6_F1_Neuron1
148,1.0,20170818_1013_BGUG_HuC_ltRFP_d6_F3
149,1.0,20170819_1013_BGUG_HuC_ltRFP_d7_F6
150,2.0,20170901_1013_BGUG_HuC_ltRFP_d6_F1_Neuron2
151,1.0,20170901_1013_BGUG_HuC_ltRFP_d6_F4
152,1.0,20170901_1013_BGUG_HuC_ltRFP_d6_F5_Neuron1
153,0.0,20170923_1013_BGUG_HuC_ltRFP_d7_F3
154,5.0,FT_T_dG_1
155,5.0,FT_T_dG_2
156,5.0,FT_T_dG_3
157,5.0,FT_T_dG_4
158,5.0,FT_T_dG_5
159,5.0,FT_T_dG_6
160,5.0,FT_T_dG_7
161,5.0,FT_T_lG_1
162,5.0,FT_T_lG_2
163,5.0,FT_T_lG_3
164,5.0,FT_T_lG_4
165,5.0,FT_T_lG_5
166,5.0,FT_T_lG_6
167,5.0,FT_T_lG_7
168,5.0,FT_T_maG_1
169,5.0,FT_T_maG_2
170,5.0,FT_T_maG_3
171,5.0,FT_T_maG_4
172,5.0,FT_T_maG_5
173,5.0,FT_T_maG_6
174,5.0,FT_T_maG_7
175,5.0,FT_T_mdG_L1
176,5.0,FT_T_mdG_L2
177,5.0,FT_T_mdG_L3
178,5.0,FT_T_mdG_L4
179,5.0,FT_T_mdG_L5
180,5.0,FT_T_mdG_L6
181,5.0,FT_T_mdG_L7
182,5.0,FT_T_mdG_T1
183,5.0,FT_T_mdG_T2
184,5.0,FT_T_mdG_T3
185,5.0,FT_T_mdG_T4
186,5.0,FT_T_mdG_T5
187,5.0,FT_T_mdG_T6
188,5.0,FT_T_vaG_1
189,5.0,FT_T_vaG_2
190,5.0,FT_T_vaG_3
191,5.0,FT_T_vaG_4
192,5.0,FT_T_vaG_5
193,5.0,FT_T_vaG_6
194,5.0,FT_T_vaG_7
195,5.0,FT_T_vmG_1
196,5.0,FT_T_vmG_2
197,5.0,FT_T_vmG_3
198,5.0,FT_T_vmG_4
199,5.0,FT_T_vmG_5
200,5.0,FT_T_vmG_6
201,5.0,FT_T_vmG_7
202,5.0,FT_T_vpG_1
203,5.0,FT_T_vpG_2
204,5.0,FT_T_vpG_3
205,5.0,FT_T_vpG_4
206,5.0,FT_T_vpG_5
207,5.0,FT_T_vpG_6
208,5.0,FT_T_vpG_7
209,4.0,T_16119_0_1
210,1.0,T_16119_0_2
211,2.0,T_16119_2_1
212,1.0,T_16119_2_2
213,4.0,T_16119_2_3
214,1.0,T_16119_2_4
215,0.0,T_16119_3_1
217,1.0,T_16119_5_2
218,1.0,T_16119_5_3
219,0.0,T_16119_5_4
220,2.0,T_16119_5_5
221,0.0,T_16119_5_6
222,5.0,T_16119_5_7
223,0.0,T_16119_5_8
224,0.0,T_16119_5_9
225,3.0,T_16119_6_1
226,0.0,T_16119_6_2
228,1.0,T_16119_7_1_1
229,5.0,T_16119_8_1
230,1.0,T_16119_9_1
231,1.0,T_16119_9_2
232,2.0,T_16119_9_3
233,2.0,T_16119_9_4
234,4.0,T_16119_10_1
235,0.0,T_16119_10_2
236,0.0,T_16119_10_3
237,2.0,T_16119_10_4
238,0.0,T_16119_10_5
239,4.0,T_16119_10_6
240,0.0,T_16119_11_1
241,2.0,T_16119_11_2
242,0.0,T_16119_11_3
243,1.0,T_16119_12_1
244,2.0,T_16119_12_2
245,2.0,T_16119_13_1
246,1.0,T_16119_13_2
247,1.0,T_16119_13_3
248,3.0,T_16119_13_4
249,4.0,T_16119_13_5
250,4.0,T_16119_13_6
251,4.0,T_16119_13_7
253,0.0,T_16119_14_2
254,1.0,T_16119_14_3
255,0.0,T_16119_14_4
256,0.0,T_16119_14_5
257,0.0,T_16119_15_1
258,0.0,T_16119_15_2
259,0.0,T_16119_15_3
260,2.0,T_16119_15_5
261,1.0,T_16119_16_1
262,4.0,T_16119_16_2
263,3.0,T_16119_18_1
264,0.0,T_16119_19_1
265,0.0,T_16119_19_2
267,2.0,T_16119_20_2
268,1.0,T_16119_20_3
269,1.0,T_16119_20_4_CHECK
270,5.0,T_16119_21_1
271,2.0,T_16119_21_2
272,1.0,T_16119_21_3
273,0.0,T_18116_1_1
274,1.0,T_18116_1_2
275,2.0,T_18116_1_3
276,1.0,T_18116_2_1
277,3.0,T_18116_5_1
278,0.0,T_18116_6_1
