Node,Community,Name
1059,3.0,T_160812_9_3
1064,1.0,T_160812_12_2
1071,3.0,T_160812_14_4
1074,4.0,T_160812_16_1
1079,1.0,T_160812_21_1
1086,3.0,T_160812_23_6
1089,1.0,T_160812_24_2
1090,2.0,T_160819_8_1
1097,1.0,T_160905_3_1
1103,4.0,T_160905_7_2
1111,3.0,T_160906_4_1
1113,1.0,T_160906_4_3
1115,4.0,T_160906_7_1
1121,0.0,T_160906_12_1
1124,1.0,T_160913_10_1
1125,0.0,T_160913_10_2
1127,2.0,T_160913_HuCxBG_0_1
1131,3.0,T_160913_HuCxBG_1_3
1137,1.0,T_160913_HuCxBG_2_3
1138,0.0,T_160913_HuCxBG_3_1
1152,0.0,T_160920_2_1
1153,0.0,T_160920_3_1
1157,2.0,T_160920_4_3
1159,1.0,T_160920_5_1
1164,1.0,T_160920_9_1
1166,3.0,T_160920_10_2
1172,1.0,T_160920_14_1
1174,0.0,T_160920_15_2
1175,1.0,T_160920_15_3
1177,0.0,T_160920_17_1
1178,2.0,T_160920_17_2
1179,4.0,T_160920_18_1
1182,4.0,T_160920_18_4
1185,0.0,T_160920_20_2
1199,2.0,T_160927_HuCxBG_Erk_0_2
1200,4.0,T_160927_HuCxBG_Erk_0_3
1213,4.0,T_160927_HuCxBG_Erk_8_1
1215,2.0,T_160927_HuCxBG_Erk_10_1
1219,0.0,T_160927_HuCxBG_Erk_11_1
1220,3.0,T_160927_HuCxBG_Erk_13_1
1223,4.0,T_160927_HuCxBG_Erk_14_3
1225,0.0,T_160927_HuCxBG_Erk_15_1
1232,1.0,T_160927_HuCxBG_Erk_16_2
1243,2.0,T_160927_HuCxBG_Erk_24_1
1249,3.0,T_161005_HuCxBG_erk_2_1
1253,1.0,T_161005_HuCxBG_erk_7_1
1256,1.0,T_161005_HuCxBG_erk_9_2
1257,3.0,T_161005_HuCxBG_erk_9_3
1262,0.0,T_161005_HuCxBG_erk_11_2
1265,2.0,T_161005_HuCxBG_erk_13_1
1267,2.0,T_161005_HuCxBG_erk_14_1
1268,0.0,T_161005_HuCxBG_erk_14_2
1273,3.0,T_161005_HuCxBG_erk_15_4
1274,4.0,T_161010_1_1
1275,0.0,T_161010_1_2
1278,1.0,T_161010_4_1
1280,4.0,T_161010_4_3
1286,1.0,T_161010_6_4
1288,4.0,T_161010_6_6
1291,3.0,T_161010_10_1
1294,2.0,T_161010_11_3
1310,2.0,T_161010_17_1
1311,1.0,T_161010_18_1
1314,2.0,T_161019_0_1
1323,1.0,T_161019_4_2
1324,4.0,T_161019_4_3
1325,1.0,T_161019_4_4
1326,3.0,T_161019_6_1
1334,0.0,T_161019_8_5
1336,4.0,T_161019_11_1
1341,0.0,T_161019_12_4
1358,2.0,T_161026_HuCxBG_erksyp_0_1
1360,4.0,T_161026_HuCxBG_erksyp_0_3
1362,2.0,T_161026_HuCxBG_erksyp_2_3
1363,1.0,T_161026_HuCxBG_erksyp_2_4
1372,0.0,T_161026_HuCxBG_erksyp_8_1
1376,4.0,T_161026_HuCxBG_erksyp_10_2
1378,4.0,T_161026_HuCxBG_erksyp_11_2
1391,1.0,T_161026_HuCxBG_erksyp_16_1
1393,2.0,T_161026_HuCxBG_erksyp_18_1
1400,4.0,T_161031_1_1
1401,2.0,T_161031_1_2
1402,0.0,T_161031_1_3
1403,0.0,T_161031_1_4
1412,1.0,T_161031_9_2
1415,3.0,T_161031_10_2
1416,0.0,T_161031_11_1
1420,1.0,T_161031_12_2
1421,3.0,T_161031_12_3
1424,4.0,T_161031_13_2
1426,0.0,T_161031_14_2
1430,0.0,T_161031_15_4
1432,0.0,T_161031_15_6
1433,0.0,T_161031_16_1
1439,1.0,T_161031_21_1
1440,0.0,T_161031_22_1
1458,0.0,T_161108_9_1
1459,4.0,T_161108_9_2
1460,0.0,T_161108_9_3
1479,2.0,T_161109_15_1
1481,2.0,T_161109_16_2
1483,4.0,T_161116_2_1
1485,4.0,T_161116_3_1
1487,3.0,T_161116_3_3
1488,0.0,T_161116_4_1
1490,4.0,T_161116_5_2
1493,0.0,T_161116_6_3
1494,4.0,T_161116_7_1
1498,1.0,T_161116_8_1
1501,2.0,T_161116_10_2
1503,3.0,T_161116_11_2
1507,0.0,T_161116_14_1
1510,1.0,T_161116_16_2
1511,2.0,T_161116_17_1
1515,1.0,T_161116_18_4
1519,1.0,T_161116_20_2
1528,0.0,T_161116_22_7
1537,3.0,T_161116_25_1
1540,2.0,T_161121_0_GFP_3
1542,2.0,T_161121_0_GFP_5
1551,1.0,T_161121_13_2
1558,0.0,T_161121_HuCxBG_2_1
1559,2.0,T_161121_HuCxBG_2_2
1567,3.0,T_161121_HuCxBG_6_4
1570,4.0,T_161121_HuCxBG_7_3
1574,3.0,T_161121_HuCxBG_9_2
1575,1.0,T_161121_HuCxBG_9_3
1576,4.0,T_161121_HuCxBG_10_1
1584,1.0,T_161121_HuCxBG_11_7
1587,3.0,T_161121_HuCxBG_12_3
1592,3.0,T_161121_HuCxBG_17_2
1595,1.0,T_161121_HuCxBG_18_1
1597,2.0,T_161124_16_1
1598,0.0,T_161124_17_1
1611,1.0,T_161124_HuCxBG_5_3
1612,2.0,T_161124_HuCxBG_5_4
1613,3.0,T_161124_HuCxBG_5_5
1619,1.0,T_161124_HuCxBG_10_1
1621,3.0,T_161124_HuCxBG_14_2
1623,3.0,T_161124_HuCxBG_15_1
1630,4.0,T_161124_HuCxBG_23_1
1631,3.0,T_161124_HuCxBG_23_2
1632,1.0,T_161129_0_1
1635,0.0,T_161129_1_1
1638,2.0,T_161129_2_4
1642,3.0,T_161129_5_1
1645,3.0,T_161129_7_1
1647,2.0,T_161129_7_3
1649,2.0,T_161129_9_2
1650,1.0,T_161129_9_3
1657,2.0,T_161129_14_1
1659,4.0,T_161129_15_2
1669,2.0,T_161129_19_4
1671,3.0,T_161129_21_1
1673,2.0,T_161129_22_1
1674,1.0,T_161129_22_3
1686,4.0,T_170119_10_1
1699,2.0,T_170119_17_1
1723,2.0,T_170201_13_1
1730,0.0,T_170201_18_2
1737,3.0,T_170210_VGlut_GFP_SYP_3_1
1745,3.0,T_170210_VGlut_GFP_SYP_10_1
1747,3.0,T_170210_VGlut_GFP_SYP_12_3
1769,4.0,T_170221_18_1
1773,0.0,T_170221_21_2
1789,0.0,T_170303_12_1
1791,2.0,T_170303_15_1
1824,4.0,T_170529_5_1
1829,0.0,T_170529_9_2
1832,4.0,T_170529_11_1
1833,0.0,T_170529_11_2
1837,3.0,T_170529_15_1
1838,0.0,T_170529_15_2
1840,0.0,T_170529_17_1
1846,4.0,T_170529_19_1
1850,0.0,T_170529_24_1
1861,0.0,T_170601_9_1
1862,1.0,T_170601_10_1
1863,3.0,T_170601_10_2
1869,2.0,T_170601_13_2
1871,2.0,T_170601_14_2
1872,0.0,T_170601_17_1
1873,3.0,T_170601_18_1
1875,0.0,T_170601_18_3
1877,0.0,T_170601_18_5
1881,0.0,T_170601_20_2
1886,0.0,T_170627_2_2
1888,1.0,T_170627_3_2
1893,3.0,T_170627_5_3
1896,0.0,T_170627_7_1
1905,2.0,T_170627_11_1
1907,1.0,T_170627_13_1
1918,0.0,T_170627_17_3
1920,2.0,T_170704_2_1
1921,0.0,T_170704_2_2
1936,2.0,T_170704_12_1
1938,1.0,T_170704_12_3
1939,0.0,T_170704_12_4
1940,1.0,T_170704_13_1
1948,1.0,T_170704_17_1
1954,0.0,T_170704_21_1
1966,0.0,T_170714_8_3
1967,3.0,T_170714_8_4
1982,1.0,T_170821_3_2
1983,3.0,T_170821_3_3
1986,0.0,T_170821_4_4
1989,0.0,T_170821_7_2
1991,3.0,T_170821_8_3
1995,4.0,T_170821_10_3
1999,1.0,T_170821_12_1
2001,3.0,T_170821_14_1
2004,0.0,T_170821_14_4
2006,4.0,T_180102_2_1
2007,2.0,T_180102_5_1
2014,4.0,T_180102_8_2
2015,1.0,T_180102_11_1
2026,1.0,T_180102_18_2
2033,2.0,T_180111_4_2
2036,1.0,T_180111_5_2
2037,1.0,T_180111_6_1
2039,0.0,T_180111_7_2
2053,0.0,T_180112_11_3
2056,1.0,T_180112_14_1
2057,2.0,T_180112_15_1
2058,2.0,T_180112_16_1
2069,0.0,T_180219_1_1
2074,2.0,T_180219_5_1
2080,3.0,T_180604_10_2
2090,3.0,T_181008_2_1_Eva
2095,1.0,T_181008_8_1_Eva
2097,0.0,T_181008_13_1_Eva
2098,3.0,T_181008_14_1_Eva
2099,1.0,T_181008_15_1
2100,4.0,T_181008_16_1_Eva
2103,0.0,T_181026_2_2
2104,0.0,T_181026_3_1
2105,3.0,T_181026_4_1
2109,2.0,T_181026_7_1
2111,0.0,T_181026_8_2
2112,0.0,T_181026_10_1
2113,0.0,T_181026_10_2
2114,3.0,T_181026_11_1
2118,3.0,T_181102_1_1
2125,0.0,T_181102_5_2_Eva
2126,1.0,T_181102_6_1_Eva
2127,0.0,T_181102_7_1
2128,0.0,T_181102_8_1_Eva
2129,1.0,T_181102_10_1_Eva
2135,3.0,T_181108_6_1
2136,1.0,T_181108_10_1
2137,0.0,T_181108_11_1_Eva
2140,0.0,T_181108_14_1
2141,4.0,T_181108_14_2
2147,2.0,T_190115_3_1
2149,1.0,T_190115_3_3
2151,4.0,T_190115_4_2
2156,0.0,T_190115_7_2
2161,1.0,T_190115_10_4
